2024-06-10,2024-06-11,RHSA-2024:3754,security,Important: ipa security update
2024-06-06,2024-06-11,RHSA-2024:3671,security,"Moderate: ruby:3.3 security
2024-06-06,2024-06-11,RHSA-2024:3668,security,"Moderate: ruby:3.1 security
2024-06-06,2024-06-11,RHSA-2024:3661,security,Important: booth security update
2024-06-05,2024-06-11,RHSA-2024:3619,security,Moderate: kernel security and bug fix update
